mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6250947475433349,0.14239175614359348,0.029859590530395507,0.0033179569557010495,0.7182534743350856,0.527471299151353,0.14239502544004398,5,4,430,0.6486900420105479,0.9273078414523568,0.7425191352307899,"{'colsample_bytree': 0.7182534743350856, 'gamma': 0.527471299151353, 'learning_rate': 0.14239502544004398, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 430, 'reg_alpha': 0.6486900420105479, 'reg_lambda': 0.9273078414523568, 'subsample': 0.7425191352307899}",0.9942199988041377,0.9952298380935297,0.9908842054907381,0.9950708071886282,0.9902082250909237,0.9931226149335914,0.002142159604539339,1
0.5423506259918213,0.02320542200768942,0.020101594924926757,0.0012752533921787455,0.7043574493366855,0.07652270145192375,0.28069652934305006,9,1,424,1.3679275387962821,2.655479075364698,0.9775566418243029,"{'colsample_bytree': 0.7043574493366855, 'gamma': 0.07652270145192375, 'learning_rate': 0.28069652934305006, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 424, 'reg_alpha': 1.3679275387962821, 'reg_lambda': 2.655479075364698, 'subsample': 0.9775566418243029}",0.9936087802868742,0.9943196539971697,0.9918675419246817,0.9949309246899272,0.9904147183032919,0.993028323840389,0.001661487394602718,2
0.7401974201202393,0.08847158945922058,0.04226226806640625,0.0055386668827683005,0.7334834444556088,0.7143340896097039,0.19875765715516733,6,2,443,1.6648852816008435,1.2431868873739664,0.6727299868828402,"{'colsample_bytree': 0.7334834444556088, 'gamma': 0.7143340896097039, 'learning_rate': 0.19875765715516733, 'max_depth': 6, 'min_child_weight': 2, 'n_estimators': 443, 'reg_alpha': 1.6648852816008435, 'reg_lambda': 1.2431868873739664, 'subsample': 0.6727299868828402}",0.9943860907925245,0.9942199988041377,0.9909639354718687,0.9940316800554202,0.9913605904373659,0.9929924591122635,0.001503791651513059,3
1.0090383529663085,0.06543974021395188,0.028157901763916016,0.0028468274985169726,0.9746592607422829,0.19593163337823127,0.13120434919751783,6,9,775,0.35487908755944564,3.127151630743004,0.9227338957069056,"{'colsample_bytree': 0.9746592607422829, 'gamma': 0.19593163337823127, 'learning_rate': 0.13120434919751783, 'max_depth': 6, 'min_child_weight': 9, 'n_estimators': 775, 'reg_alpha': 0.35487908755944564, 'reg_lambda': 3.127151630743004, 'subsample': 0.9227338957069056}",0.993874527468293,0.9954756542363422,0.9906383713822522,0.9951907064732293,0.9884297190360097,0.9927217957192254,0.0027484769146324285,4
1.8547173023223877,0.06447485579315682,0.054207229614257814,0.008153183845138724,0.610167650697638,0.5394571349665223,0.019114463849152934,8,1,663,1.1265511439527673,2.9343063024914464,0.6557325817623503,"{'colsample_bytree': 0.610167650697638, 'gamma': 0.5394571349665223, 'learning_rate': 0.019114463849152934, 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 663, 'reg_alpha': 1.1265511439527673, 'reg_lambda': 2.9343063024914464, 'subsample': 0.6557325817623503}",0.99376158491619,0.9937084354799062,0.9910835304435645,0.9940716464836205,0.9905612618733598,0.9926372918393283,0.0014961839299763463,5
0.25785031318664553,0.0038545407281677137,0.021369266510009765,0.0024289747353011394,0.6336559859980195,0.8081435704730688,0.270580714672853,5,3,211,0.2029430857320642,2.8222561918781954,0.6020246335384875,"{'colsample_bytree': 0.6336559859980195, 'gamma': 0.8081435704730688, 'learning_rate': 0.270580714672853, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 211, 'reg_alpha': 0.2029430857320642, 'reg_lambda': 2.8222561918781954, 'subsample': 0.6020246335384875}",0.9946385506148726,0.9940472631362153,0.990791187179419,0.9948509918335265,0.9882432090377417,0.992514240360355,0.0025897444336923352,6
0.8397841930389405,0.0985802217619329,0.02656717300415039,0.0018525973132376985,0.6888431241882921,0.599326836668414,0.1079083997070521,8,6,771,1.0375812434867322,2.9605663561331226,0.7454518409517176,"{'colsample_bytree': 0.6888431241882921, 'gamma': 0.599326836668414, 'learning_rate': 0.1079083997070521, 'max_depth': 8, 'min_child_weight': 6, 'n_estimators': 771, 'reg_alpha': 1.0375812434867322, 'reg_lambda': 2.9605663561331226, 'subsample': 0.7454518409517176}",0.9943661597539182,0.9941535620087829,0.9902596539718819,0.9947244314775588,0.9889426215312471,0.9924892857486778,0.0024016008353651536,7
0.7878275871276855,0.08126131070299394,0.02271924018859863,0.0016020543020530765,0.8428136990746738,1.3799959101127168,0.09591931665418388,6,1,620,1.5444895385933148,1.1955048853696035,0.602208846849441,"{'colsample_bytree': 0.8428136990746738, 'gamma': 1.3799959101127168, 'learning_rate': 0.09591931665418388, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 620, 'reg_alpha': 1.5444895385933148, 'reg_lambda': 1.1955048853696035, 'subsample': 0.602208846849441}",0.993495837734771,0.9925457915611984,0.9903858931086719,0.9941582404113878,0.9894688461692179,0.9920109217970493,0.0018002724779237905,8
0.43871159553527833,0.04073239547462452,0.024532651901245116,0.005107068623047096,0.9627313766183017,1.3606612469231765,0.19783013495699506,2,4,358,0.013904261062381407,2.28761555902148,0.7669644012595116,"{'colsample_bytree': 0.9627313766183017, 'gamma': 1.3606612469231765, 'learning_rate': 0.19783013495699506, 'max_depth': 2, 'min_child_weight': 4, 'n_estimators': 358, 'reg_alpha': 0.013904261062381407, 'reg_lambda': 2.28761555902148, 'subsample': 0.7669644012595116}",0.9945123207036985,0.9940539068157509,0.9895885932973663,0.9940050357699532,0.9877169843997708,0.991975368197308,0.0027823201919838884,9
0.48467116355895995,0.02076978329807261,0.023151159286499023,0.0028373429067932434,0.9530545372757359,0.9435355417068969,0.09087269225173274,4,3,503,1.7741728485302346,3.2295644105016836,0.8568126584617151,"{'colsample_bytree': 0.9530545372757359, 'gamma': 0.9435355417068969, 'learning_rate': 0.09087269225173274, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 503, 'reg_alpha': 1.7741728485302346, 'reg_lambda': 3.2295644105016836, 'subsample': 0.8568126584617151}",0.9940671941748218,0.9927052398700495,0.9902197889813166,0.9929259422085448,0.9897086447384198,0.9919253619946303,0.0016744927620551268,10
