url_length,hyphen_count,dot_count,digit_count,entropy,subdomain_depth,has_https,is_ip_address,has_at_symbol,path_length,query_param_count,special_char_count,brand_impersonation_score,brand_matched_count,brand_keyword_hit_count,brand_typosquat_hit_count,brand_has_action_word,tld_risk_score,tld_known,idn_is_homograph,idn_confusable_count,idn_risk_score,idn_punycode_flag,dns_resolves,dns_a_record_count,dns_has_aaaa,dns_has_mx,whois_domain_age_days,whois_recently_registered,whois_privacy_protected,whois_found,ssl_valid,ssl_self_signed,ssl_days_until_expiry,ssl_expired,visual_similarity_score,dom_credential_form_detected,aggregate_lexical_risk_score,whois_registrar_was_missing,whois_domain_age_days_was_missing,ssl_days_until_expiry_was_missing,ssl_issuer_was_missing,ssl_expired_was_missing,visual_similarity_score_was_missing,dom_credential_form_detected_was_missing,category_was_missing,tld_freq,whois_registrar_freq,category_freq,ssl_issuer_google_trust_services,ssl_issuer_let's_encrypt,ssl_issuer_digicert_inc,ssl_issuer_amazon,ssl_issuer_globalsign_nv_sa,ssl_issuer_sectigo_limited,ssl_issuer_godaddycom_inc,ssl_issuer_godaddycom,ssl_issuer_hellenic_academic_and_research_institutions_ca,ssl_issuer_microsoft_corporation,ssl_issuer_other,ssl_issuer_missing
25,0,1,0,3.3278,0,1,0,0,0,0,0,0.0,0,0,0,0,0.5,0,0,0,0.0,0,0,0,0,0,-1.0,0,0,0,0,0,-1.0,-1,0.0312,0,0.2166,1,1,1,1,1,0,0,1,0.007426,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
74,0,3,10,2.5654,2,0,1,0,26,1,3,0.0,0,0,0,0,0.5,0,0,0,0.0,0,0,0,0,0,-1.0,0,0,0,0,0,-1.0,-1,0.1875,0,0.2013,1,1,1,1,1,0,0,1,0.005982,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
21,0,1,0,3.2389,0,1,0,0,0,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,0,0,0,0,-1.0,0,0,0,0,0,-1.0,-1,0.3125,0,0.1098,1,1,1,1,1,0,0,1,0.358292,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
76,1,2,12,4.3903,1,1,0,0,36,0,0,0.0833,1,0,1,0,0.35,1,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,1,0,78.0,0,0.25,0,0.2261,1,1,0,0,0,0,0,0,0.099216,0.573432,0.10396,1,0,0,0,0,0,0,0,0,0,0,0
23,0,2,0,3.0391,1,1,0,0,0,0,0,0.0,0,0,0,0,0.5,0,0,0,0.0,0,0,0,0,0,-1.0,0,0,0,0,0,-1.0,-1,0.3125,0,0.2108,1,1,1,1,1,0,0,1,0.002682,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
52,0,1,1,2.585,0,1,0,0,38,0,0,0.0833,1,0,1,0,0.2,1,0,0,0.0,0,1,2,0,1,-1.0,0,0,0,0,0,-1.0,-1,-1.0,-1,0.145,1,1,1,1,1,1,1,0,0.009076,0.573432,0.050124,0,0,0,0,0,0,0,0,0,0,0,1
21,0,2,0,2.8554,1,1,0,0,0,0,0,0.0,0,0,0,0,0.02,1,0,0,0.0,0,1,1,0,0,13208.0,0,0,1,1,0,10.0,0,0.375,0,0.0631,1,0,0,0,0,0,0,1,0.005157,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,1,0
40,1,1,0,3.4528,0,1,0,0,16,0,0,0.0833,1,0,1,0,0.15,1,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,0,0,-1.0,-1,-1.0,-1,0.1474,1,1,1,1,1,1,1,0,0.358292,0.573432,0.050124,0,0,0,0,0,0,0,0,0,0,0,1
53,0,1,0,3.5466,0,1,0,0,0,2,5,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,4,0,1,-1.0,0,0,0,1,0,182.0,0,0.1875,0,0.1159,1,1,0,0,0,0,0,1,0.358292,0.573432,0.778259,0,0,0,0,0,1,0,0,0,0,0,0
39,0,1,0,3.5069,0,1,0,0,16,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,3,0,1,6498.0,0,1,1,1,0,37.0,0,0.25,0,0.1151,0,0,0,0,0,0,0,1,0.358292,0.063325,0.778259,1,0,0,0,0,0,0,0,0,0,0,0
18,0,2,0,2.9219,1,1,0,0,0,0,0,0.0833,1,0,1,0,0.5,0,0,0,0.0,0,1,1,0,1,-1.0,0,0,0,1,0,67.0,0,0.3125,0,0.2418,1,1,0,0,0,0,0,0,0.00165,0.573432,0.10396,0,1,0,0,0,0,0,0,0,0,0,0
53,1,2,2,4.0153,1,1,0,0,13,0,2,0.0,0,0,0,0,0.28,1,0,0,0.0,0,1,4,0,0,-1.0,0,0,0,1,0,51.0,0,0.125,0,0.1643,1,1,0,0,0,0,0,1,0.045998,0.573432,0.778259,0,1,0,0,0,0,0,0,0,0,0,0
27,0,1,0,3.1808,0,1,0,0,6,0,0,0.0,0,0,0,0,0.15,1,0,0,0.0,0,1,1,0,1,-1.0,0,0,0,0,0,-1.0,-1,0.0312,0,0.1086,1,1,1,1,1,0,0,1,0.358292,0.573432,0.778259,0,0,0,0,0,0,0,0,0,0,0,1
84,1,2,11,4.2028,1,1,0,0,44,0,0,0.0833,1,0,1,0,0.35,1,0,0,0.0,0,1,2,0,0,-1.0,0,0,0,1,0,78.0,0,0.3125,0,0.2224,1,1,0,0,0,0,0,0,0.099216,0.573432,0.10396,1,0,0,0,0,0,0,0,0,0,0,0
